ActivityID,CustomerID,Type,StartTime,EndTime,Duration,StartCondition,StartLocation,EndCondition,Notes
1468,10,Feed,2025-05-29 21:02:38.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1467,10,Diaper,2025-05-29 19:10:04.000,NULL,NULL,NULL,NULL,pee:medium,NULL
1466,10,Sleep,2025-05-29 19:13:43.000,2025-05-29 21:00:57.000,107,NULL,NULL,NULL,NULL
1465,10,Feed,2025-05-29 18:05:10.000,NULL,NULL,Breast Milk,Bottle,90ml,NULL
1464,10,Sleep,2025-05-29 16:15:07.000,2025-05-29 17:00:51.000,45,NULL,NULL,NULL,NULL
1463,10,Diaper,2025-05-29 15:30:44.000,NULL,NULL,NULL,NULL,pee:Big,NULL
1462,10,Pump,2025-05-29 15:55:15.000,2025-05-29 16:15:15.000,20,60ml,NULL,60ml,NULL
1461,10,Feed,2025-05-29 14:53:52.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1460,10,Sleep,2025-05-29 12:11:29.000,2025-05-29 14:52:41.000,161,NULL,NULL,NULL,NULL
1459,10,Diaper,2025-05-29 11:59:07.000,NULL,NULL,NULL,NULL,"Both, pee:Big poo:Small",NULL
1458,10,Pump,2025-05-29 11:10:15.000,2025-05-29 11:30:15.000,20,60ml,NULL,60ml,NULL
1457,10,Feed,2025-05-29 11:10:28.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1456,10,Diaper,2025-05-29 08:18:43.000,NULL,NULL,NULL,NULL,"Both, pee:Small poo:Medium",NULL
1455,10,Pump,2025-05-29 07:30:41.000,2025-05-29 07:50:41.000,20,60ml,NULL,60ml,NULL
1454,10,Feed,2025-05-29 07:30:13.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1453,10,Sleep,2025-05-29 09:56:10.000,2025-05-29 11:07:23.000,71,NULL,NULL,NULL,NULL
1452,10,Sleep,2025-05-29 09:00:37.000,2025-05-29 09:35:55.000,35,NULL,NULL,NULL,NULL
1451,10,Diaper,2025-05-29 07:40:43.000,NULL,NULL,NULL,NULL,"Both, pee:small poo:medium",NULL
1450,10,Sleep,2025-05-29 04:30:36.000,2025-05-29 07:32:40.000,182,NULL,NULL,NULL,NULL
1449,10,Diaper,2025-05-29 04:10:06.000,NULL,NULL,NULL,NULL,pee:Medium,NULL
1448,10,Feed,2025-05-29 03:55:53.000,NULL,NULL,Breast Milk,Bottle,135ml,NULL
1447,10,Sleep,2025-05-28 23:25:44.000,2025-05-29 03:40:05.000,254,NULL,NULL,NULL,NULL
1446,10,Pump,2025-05-29 01:25:18.000,2025-05-29 01:40:18.000,15,40ml,NULL,50ml,NULL
1445,10,Sleep,2025-05-28 20:23:41.000,2025-05-28 22:40:08.000,136,NULL,NULL,NULL,NULL
1444,10,Diaper,2025-05-28 23:05:59.000,NULL,NULL,NULL,NULL,pee:Medium,NULL
1443,10,Feed,2025-05-28 22:50:51.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1442,10,Pump,2025-05-28 20:57:40.000,2025-05-28 21:12:40.000,15,45ml,NULL,75ml,NULL
1441,10,Feed,2025-05-28 19:45:52.000,NULL,NULL,Breast Milk,Bottle,60ml,NULL
1440,10,Diaper,2025-05-28 18:50:12.000,NULL,NULL,NULL,NULL,"Both, pee:Medium poo:Medium",NULL
1439,10,Diaper,2025-05-28 18:00:37.000,NULL,NULL,NULL,NULL,pee:Medium,NULL
1438,10,Feed,2025-05-28 18:03:54.000,NULL,NULL,Breast Milk,Bottle,65ml,NULL
1437,10,Pump,2025-05-28 16:30:13.000,2025-05-28 16:40:13.000,10,42ml,NULL,62ml,NULL
1436,10,Diaper,2025-05-28 15:41:50.000,NULL,NULL,NULL,NULL,poo:Big,NULL
1435,10,Feed,2025-05-28 15:15:36.000,NULL,NULL,Formula,Bottle,125ml,NULL
1434,10,Sleep,2025-05-28 11:47:18.000,2025-05-28 14:30:24.000,163,NULL,NULL,NULL,NULL
1433,10,Diaper,2025-05-28 15:11:42.000,NULL,NULL,NULL,NULL,"Both, pee:Medium poo:Medium",NULL
1432,10,Sleep,2025-05-28 10:30:26.000,2025-05-28 11:17:11.000,46,NULL,NULL,NULL,NULL
1431,10,Diaper,2025-05-28 11:15:02.000,NULL,NULL,NULL,NULL,pee:Big,NULL
1430,10,Feed,2025-05-28 11:23:08.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1429,10,Pump,2025-05-28 11:23:43.000,2025-05-28 11:43:43.000,20,60ml,NULL,60ml,NULL
1428,10,Diaper,2025-05-28 08:45:49.000,NULL,NULL,NULL,NULL,poo:Medium,NULL
1427,10,Diaper,2025-05-28 08:25:37.000,NULL,NULL,NULL,NULL,pee:Big,NULL
1426,10,Feed,2025-05-28 08:12:22.000,NULL,NULL,Breast Milk,Bottle,115ml,NULL
1425,10,Sleep,2025-05-28 05:15:26.000,2025-05-28 08:10:21.000,174,NULL,NULL,NULL,NULL
1424,10,Pump,2025-05-28 07:40:56.000,2025-05-28 07:52:56.000,12,38ml,NULL,77ml,NULL
1423,10,Feed,2025-05-28 05:00:15.000,NULL,NULL,Breast Milk,Bottle,115ml,NULL
1422,10,Diaper,2025-05-28 04:42:07.000,NULL,NULL,NULL,NULL,"Both, pee:Medium poo:Small",NULL
1421,10,Sleep,2025-05-28 01:20:20.000,2025-05-28 04:30:48.000,190,NULL,NULL,NULL,NULL
1420,10,Pump,2025-05-28 02:56:06.000,2025-05-28 03:07:06.000,11,25ml,NULL,40ml,NULL
1419,10,Diaper,2025-05-28 01:09:38.000,NULL,NULL,NULL,NULL,poo:Medium,NULL
1418,10,Feed,2025-05-28 00:50:27.000,NULL,NULL,Formula,Bottle,120ml,NULL
1417,10,Sleep,2025-05-27 22:15:07.000,2025-05-28 00:45:46.000,150,NULL,NULL,NULL,NULL
1416,10,Pump,2025-05-27 22:46:06.000,2025-05-27 22:57:06.000,11,35ml,NULL,45ml,NULL
1415,10,Sleep,2025-05-27 19:30:18.000,2025-05-27 21:00:56.000,90,NULL,NULL,NULL,NULL
1414,10,Diaper,2025-05-27 22:02:45.000,NULL,NULL,NULL,NULL,pee:Medium,NULL
1413,10,Diaper,2025-05-27 19:50:58.000,NULL,NULL,NULL,NULL,pee:Medium,NULL
1412,10,Feed,2025-05-27 21:05:50.000,NULL,NULL,Breast Milk,Bottle,123,NULL
1411,10,Pump,2025-05-27 18:46:56.000,2025-05-27 19:01:56.000,15,43ml,NULL,80ml,NULL
1409,10,Sleep,2025-05-27 16:30:30.000,2025-05-27 17:10:43.000,40,NULL,NULL,NULL,NULL
1408,10,Diaper,2025-05-27 16:17:25.000,NULL,NULL,NULL,NULL,pee:Medium,NULL
1407,10,Sleep,2025-05-27 15:43:10.000,2025-05-27 16:06:51.000,23,NULL,NULL,NULL,NULL
1406,10,Feed,2025-05-27 17:16:17.000,NULL,NULL,Formula,Bottle,120ml,NULL
1405,10,Pump,2025-05-27 14:05:02.000,2025-05-27 14:20:02.000,15,50ml,NULL,50ml,NULL
1404,10,Diaper,2025-05-27 14:37:23.000,NULL,NULL,NULL,NULL,"Both, pee:Medium poo:Medium",NULL
1403,10,Feed,2025-05-27 14:05:05.000,NULL,NULL,Breast Milk,Bottle,100ml,NULL
1402,10,Feed,2025-05-27 13:20:13.000,NULL,NULL,Breast Milk,Bottle,60ml,NULL
1401,10,Diaper,2025-05-27 13:35:59.000,NULL,NULL,NULL,NULL,"Both, pee:Small poo:Big",NULL
1400,10,Diaper,2025-05-27 13:08:29.000,NULL,NULL,NULL,NULL,"Both, pee:Small poo:Small",NULL
1399,10,Sleep,2025-05-27 11:46:53.000,2025-05-27 12:48:45.000,61,NULL,NULL,NULL,NULL
1398,10,Diaper,2025-05-27 11:00:24.000,NULL,NULL,NULL,NULL,"Both, pee:Big poo:Small",NULL
1397,10,Pump,2025-05-27 10:43:00.000,2025-05-27 11:03:00.000,20,60ml,NULL,60ml,NULL
1396,10,Feed,2025-05-27 10:43:42.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1395,10,Sleep,2025-05-27 08:47:58.000,2025-05-27 10:40:25.000,112,NULL,NULL,NULL,NULL
1394,10,Diaper,2025-05-27 07:50:19.000,NULL,NULL,NULL,NULL,poo:Medium,NULL
1393,10,Diaper,2025-05-27 07:30:18.000,NULL,NULL,NULL,NULL,pee:Medium,NULL
1392,10,Pump,2025-05-27 07:08:12.000,2025-05-27 07:28:12.000,20,60ml,NULL,60ml,NULL
1391,10,Feed,2025-05-27 07:08:03.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1390,10,Sleep,2025-05-27 04:00:25.000,2025-05-27 07:07:01.000,186,NULL,NULL,NULL,NULL
1389,10,Diaper,2025-05-27 03:40:23.000,NULL,NULL,NULL,NULL,pee:Medium,NULL
1388,10,Feed,2025-05-27 03:30:10.000,NULL,NULL,Breast Milk,Bottle,80ml,NULL
1387,10,Sleep,2025-05-27 00:15:35.000,2025-05-27 03:25:28.000,189,NULL,NULL,NULL,NULL
